"filename", "language", "JavaScript", "PHP", "JSON", "Markdown", "XML", "CSS", "YAML", "Batch", "comment", "blank", "total"
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-lv.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, -6, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-mg.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-mn.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ms.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-nb.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -4, -3, -34
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-nl.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -5, -3, -35
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-pl.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -4, -3, -34
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-pt.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -5, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-pt_br.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -9, -3, -39
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ro.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -4, -3, -34
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ru.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -7, -3, -37
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-si.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -5, -3, -35
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sk.php", "PHP", 0, -22, 0, 0, 0, 0, 0, 0, -6, -3, -31
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sl.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -7, -3, -37
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sr.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -6, -3, -29
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sr_latn.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -6, -3, -29
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-sv.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, -6, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-tl.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -6, -3, -29
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-tr.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -9, -3, -39
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-uk.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -6, -3, -29
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-ur.php", "PHP", 0, -23, 0, 0, 0, 0, 0, 0, -5, -3, -31
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-vi.php", "PHP", 0, -19, 0, 0, 0, 0, 0, 0, -6, -3, -28
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-zh.php", "PHP", 0, -20, 0, 0, 0, 0, 0, 0, -7, -3, -30
"d:\Projects\Websites\befikr\PHPMailer-master\language\phpmailer.lang-zh_cn.php", "PHP", 0, -27, 0, 0, 0, 0, 0, 0, -7, -3, -37
"d:\Projects\Websites\befikr\PHPMailer-master\src\DSNConfigurator.php", "PHP", 0, -136, 0, 0, 0, 0, 0, 0, -80, -30, -246
"d:\Projects\Websites\befikr\PHPMailer-master\src\Exception.php", "PHP", 0, -9, 0, 0, 0, 0, 0, 0, -28, -4, -41
"d:\Projects\Websites\befikr\PHPMailer-master\src\OAuth.php", "PHP", 0, -46, 0, 0, 0, 0, 0, 0, -79, -15, -140
"d:\Projects\Websites\befikr\PHPMailer-master\src\OAuthTokenProvider.php", "PHP", 0, -6, 0, 0, 0, 0, 0, 0, -35, -4, -45
"d:\Projects\Websites\befikr\PHPMailer-master\src\PHPMailer.php", "PHP", 0, -2926, 0, 0, 0, 0, 0, 0, -1929, -394, -5249
"d:\Projects\Websites\befikr\PHPMailer-master\src\POP3.php", "PHP", 0, -183, 0, 0, 0, 0, 0, 0, -234, -53, -470
"d:\Projects\Websites\befikr\PHPMailer-master\src\SMTP.php", "PHP", 0, -747, 0, 0, 0, 0, 0, 0, -619, -144, -1510
"d:\Projects\Websites\befikr\composer.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Projects\Websites\befikr\composer.lock", "JSON", 0, 0, 1789, 0, 0, 0, 0, 0, 0, 1, 1790
"d:\Projects\Websites\befikr\cronJob.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"d:\Projects\Websites\befikr\db_host.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Projects\Websites\befikr\get_number.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 1, 7, 29
"d:\Projects\Websites\befikr\mail.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 10, 19, 97
"d:\Projects\Websites\befikr\mailPHPMailer.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 39, 37, 145
"d:\Projects\Websites\befikr\next.config.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Projects\Websites\befikr\package-lock.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 71
"d:\Projects\Websites\befikr\package.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, -1, 4
"d:\Projects\Websites\befikr\phpunit.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\Projects\Websites\befikr\postalService.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 38, 27, 119
"d:\Projects\Websites\befikr\public\extraLogos\logo-svg.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\Websites\befikr\public\extraLogos\logo-svg_1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\Websites\befikr\public\extraLogos\logo-svg_2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\Websites\befikr\public\extraLogos\logo-svg_3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\Websites\befikr\public\extraLogos\logo-svg_4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
